a              .6 -w
a@l            .e -w
abc            .e -w .bi -w .si -w
abc@l          .e -w .bi -w .si -w
abcd@l         .e -w .bi -w .si -w .di -w
abcs           .e -w .bi -w .siz -w
able           .ebL -w
about          .6bQt -w
above          .6bAv -w
abuses         .6byusIz -w
accustomed     .6kAstMd -w
acquiesced     .&kwIEst -w
act            .&kt -w
activities     .&ktIvItiz -w
activity       .&ktIvIti -w
actual         .&kcuL -w
actually       .&kcu6li -w
add            .&d -w
adults         .6dAlts -w
advanced       .&dv&nst -w
afraid         .6fred -w
after          .&ftR -w
afternoon      .&ftRnun -w
afterwards     .&ftRwRdz -w
again          .6gEn -w
age            .eG -w
ago            .6go -w
ahead          .6hEd -w
air            .* -w
airplane       .*plen -w
aisles         .9lz -w
alarm          .6l#m -w
alice          .&lIs -w
alice's        .&lIsIz -w
alive          .6l9v -w
all            .Ol -w
alligator      .&lIgetR -w
alligator's    .&lIgetRz -w
allow          .6lQ -w
allowed        .6lQd -w
almost         .Olmost -w
alone          .6lon -w
along          .6lON -w
alphabet       .&lf6bEt -w
already        .OlrEdi -w
alright        .Olr9t -w
also           .Olso -w
although       .OlDo -w
always         .Olwez -w
am             .&m -w
amazed         .6mezd -w
amazing        .6mezIN -w
ambivalence    .&mbIv6l~s -w
amelia         .6mily6 -w
amount         .6mQnt -w
amused         .6myuzd -w
an             .6n -w
and            .&nd -w
andrew's       .&ndruz -w
andy           .&ndi -w
animal         .&n6mL -w
animals        .&n6mLz -w
ann            .&n -w
anne           .&n -w
annie          .&ni -w
annie's        .&niz -w
another        .6nADR -w
answer         .&nsR -w
answers        .&nsRz -w
ant            .&nt -w
ants           .&nts -w
any            .Eni -w
anybody        .Enibadi -w
anyhow         .EnihQ -w
anymore        .Enim% -w
anyone         .EniwAn -w
anything       .EniTIN -w
anyway         .Eniwe -w
anywhere       .EniW* -w
apart          .6p#t -w
apartment      .6p#tm~t -w
apparently     .6p*~tli -w
appeals        .6pilz -w
apple          .&pL -w
apples         .&pLz -w
applesauce     .&pLsOs -w
appreciate     .6priSiet -w
approached     .6proct -w
appropriate    .6propriIt -w
aquarium       .6kw*iM -w
are            .# -w
area           .*i6 -w
areas          .*i6z -w
aren't         .#nt -w
arm            .#m -w
arms           .#mz -w
around         .6rQnd -w
arranged       .6renGd -w
arrangements   .6renGm~ts -w
array          .6re -w
as             .&z -w
ask            .&sk -w
asked          .&skt -w
asking         .&skIN -w
asks           .&sks -w
asleep         .6slip -w
associate      .6sosiet -w
associated     .6sosietId -w
associates     .6sosiets -w
association    .6sosieS~ -w
at             .&t -w
ate            .et -w
attached       .6t&ct -w
attack         .6t&k -w
attention      .6tEnS~ -w
august         .Og6st -w
aunt           .&nt -w
automatically  .Ot6m&tIkli -w
awake          .6wek -w
aware          .6w* -w
away           .6we -w
awfully        .Ofli -w
b@l            .bi -w
babble         .b&bL -w
babies         .bebiz -w
baby           .bebi -w
baby's         .bebiz -w
babysat        .bebisIt -w
babysitter     .bebisItR -w
babysitters    .bebisItRz -w
back           .b&k -w
backs          .b&ks -w
bad            .b&d -w
bag            .b&g -w
bags           .b&gz -w
ball           .bOl -w
balloon        .b6lun -w
balloons       .b6lunz -w
balls          .bOlz -w
balogna        .b6loni -w
bambi          .b&mbi -w
bananas        .b6n&n6z -w
band           .b&nd -w
bang           .b&N -w
bank           .b&Nk -w
bark           .b#k -w
barks          .b#ks -w
barrels        .b*Lz -w
barrette       .b6rEt -w
barrettes      .b6rEts -w
bars           .b#z -w
baseball       .besbOl -w
baseballs      .besbOlz -w
basically      .besIkli -w
basket         .b&skIt -w
baskets        .b&skIts -w
bat            .b&t -w
bath           .b&T -w
bathing        .beDIN -w
bathroom       .b&Trum -w
bathtub        .b&TtAb -w
be             .bi -w
beach          .bic -w
beans          .binz -w
bear           .b* -w
beard          .b(d -w
beautiful      .byut6fL -w
because        .bIkAz -w
become         .bIkAm -w
becomes        .bIkAmz -w
bed            .bEd -w
bedroom        .bEdrum -w
bedspread      .bEdsprEd -w
bee            .bi -w
been           .bIn -w
beetles        .bitLz -w
before         .bIf% -w
began          .bIg&n -w
begin          .bIgIn -w
beginner       .bIgInR -w
beginning      .bIgInIN -w
begins         .bIgInz -w
behavior       .bIhevyR -w
behind         .bIh9nd -w
being          .biIN -w
belief         .bIlif -w
believe        .bIliv -w
believes       .bIlivz -w
bell           .bEl -w
belongs        .bIlON -w
belt           .bElt -w
belts          .bElts -w
berry          .b*i -w
bert           .b3t -w
bert's         .b3ts -w
besides        .bIs9dz -w
best           .bEst -w
bet            .bEt -w
better         .bEtR -w
between        .bItwin -w
beyond         .biand -w
bib            .bIb -w
bible          .b9bL -w
big            .bIg -w
bigger         .bIgR -w
biggest        .bIgIst -w
bill           .bIl -w
bird           .b3d -w
birdie         .b3di -w
birdie's       .b3diz -w
birdies        .b3diz -w
birds          .b3dz -w
birthday       .b3Tde -w
bit            .bIt -w
bite           .b9t -w
bites          .b9ts -w
bits           .bIts -w
black          .bl&k -w
blanket        .bl&NkIt -w
bless          .blEs -w
block          .blak -w
block's        .blaks -w
blocks         .blaks -w
blouse         .blQs -w
blow           .blo -w
blue           .blu -w
blush          .blAS -w
boat           .bot -w
bob            .bab -w
bobby          .babi -w
body           .badi -w
bones          .bonz -w
book           .bUk -w
bookcase       .bUkkes -w
books          .bUks -w
boots          .buts -w
bored          .b%d -w
boring         .b%IN -w
both           .boT -w
bother         .baDR -w
bothered       .baDRd -w
bottle         .batL -w
bottom         .batM -w
bought         .bOt -w
bow            .bo -w
bowl           .bol -w
bowls          .bolz -w
bows           .boz -w
box            .baks -w
boxes          .baksIz -w
boy            .b7 -w
boy's          .b7z -w
boys           .b7z -w
brain          .bren -w
bran           .br&n -w
bread          .brEd -w
break          .brek -w
breakfast      .brEkf6st -w
breeze         .briz -w
brenda         .brEnd6 -w
bridge         .brIG -w
bridges        .brIGIz -w
bright         .br9t -w
bring          .brIN -w
bringing       .brININ -w
brings         .brINz -w
bristle        .brIsL -w
bristles       .brIsLz -w
broke          .brok -w
broken         .brok~ -w
brother        .brADR -w
brought        .brOt -w
brows          .brQz -w
